Test          MVS          VMM          Deviation (%)
 vrp_101_10_1   889.82          1314.4         47.7152
 vrp_101_11_1   2229.49          3471.33         55.7006
 vrp_101_11_2   2157.38          3589.43         66.379
 vrp_101_11_3   1471.37          2918.21         98.333
 vrp_101_11_4   1740.39          2880.55         65.5119
 vrp_101_14_1   1141.13          1606.8         40.8078
 vrp_101_14_2   1141.13          1606.8         40.8078
 vrp_101_8_1   859.86          1170.25         36.0982
 vrp_121_7_1   1201.35          1578.96         31.4323
 vrp_135_7_1   1260.45          1790.82         42.0775
 vrp_151_12_1   1091.19          1439.14         31.8876
 vrp_151_12_2   1087.87          1441.45         32.502
 vrp_151_14_1   2871.58          4454.44         55.1214
 vrp_151_14_2   2624.26          4367.57         66.4306
 vrp_151_14_3   2856          5204.02         82.2137
 vrp_151_15_1   3289.9          4833.72         46.9261
 vrp_16_3_1   294.14          313.147         6.46177
 vrp_16_5_1   386.71          409.741         5.95568
 vrp_200_16_1   1489.4          2020.13         35.634
 vrp_200_16_2   1411.53          1870.02         32.4814
 vrp_200_17_1   1489.4          2019.47         35.5893
 vrp_200_17_2   1411.53          1842.88         30.5592
 vrp_21_4_1   394.95          452.786         14.6438
 vrp_21_6_1   500.27          559.917         11.9229
 vrp_22_4_1   387.15          574.645         48.4295
 vrp_22_6_1   559.1          695.22         24.3462
 vrp_23_3_1   573.2          788.933         37.6365
 vrp_23_5_1   573.2          746.734         30.2747
 vrp_241_22_1   745.51          920.388         23.4575
 vrp_253_27_1   933.87          1078.79         15.5179
 vrp_256_14_1   624.15          763.266         22.2889
 vrp_26_8_1   706.59          704.709         -0.266223
 vrp_30_3_1   548.83          607.551         10.6993
 vrp_30_4_1   548.83          639.694         16.5559
 vrp_301_28_1   1087.19          1301.4         19.7033
 vrp_31_9_1   749.05          814.577         8.74797
 vrp_321_30_1   1173.62          1314.02         11.9627
 vrp_324_16_1   811.38          987.266         21.6774
 vrp_33_3_1   2091.27          2407.71         15.1314
 vrp_33_4_1   872.21          935.496         7.2558
 vrp_33_5_1   872.21          1002.19         14.9024
 vrp_36_11_1   813.54          902.791         10.9707
 vrp_361_33_1   1496.8          1702.14         13.7185
 vrp_386_47_1   32239          38698.7         20.0369
 vrp_397_34_1   1478.7          1634.46         10.5335
 vrp_5_4_1   80.64          80.645         0.00614022
 vrp_51_5_1   562.79          715.439         27.1236
 vrp_72_4_1   256.25          367.436         43.3898
 vrp_76_10_1   922.58          1181.22         28.0346
 vrp_76_10_2   1772.3          3242.29         82.9422
 vrp_76_14_1   1092.25          1453         33.0286
 vrp_76_14_2   1092.25          1453         33.0286
 vrp_76_15_1   1092.25          1464.49         34.0801
 vrp_76_7_1   716.67          1045.56         45.8918
 vrp_76_7_2   716.67          1045.56         45.8918
 vrp_76_8_1   812.99          1167.04         43.5494
 vrp_76_8_2   812.99          1167.04         43.5494
 vrp_76_9_1   1476.78          2264.86         53.3645
 vrp_76_9_2   1332.99          2216.8         66.3028
 vrp_76_9_3   1422.69          2170.63         52.5722
 vrp_400_18_1   1000.49 0          1277.13         27.6506
 vrp_41_14_1   1035.00 0          1078.65         4.21725
 vrp_421_41_1   1967.23 0          2235.68         13.6462
 vrp_45_4_1   744.14 0          1235.56         66.038
 vrp_481_38_1   1757.83 0          1948.24         10.8324
 vrp_484_19_1   1219.37 0          1464.84         20.1305
 vrp_48_4_1   41265.80 0          50566.3         22.5379
